Frame,X,Y
77,374,576
84,377,587
91,415,605
98,411,552
105,442,585
112,424,554
119,450,549
126,458,527
133,446,538
140,431,549
147,425,551
154,415,553
161,397,555
168,394,558
175,396,565
182,393,569
189,388,569
196,371,568
203,339,567
210,323,569
217,313,575
224,295,584
231,270,595
238,264,601
245,253,600
252,230,585
259,227,610
266,231,638
273,207,642
280,190,654
287,193,643
294,156,696
